Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[219.0, 248.0]",215.0,193.0,190.0,217.0,196.0,215.0,172.0,138.0
"[218.0, 248.0]",204.0,169.0,160.0,235.0,155.0,221.0,180.0,109.0
"[218.0, 250.0]",206.0,114.0,199.0,225.0,168.0,206.0,225.0,154.0
"[218.0, 251.0]",203.0,146.0,214.0,196.0,157.0,215.0,154.0,165.0
"[218.0, 251.0]",203.0,146.0,214.0,196.0,157.0,215.0,154.0,165.0
"[218.0, 253.0]",211.0,182.0,188.0,200.0,128.0,214.0,191.0,96.0
"[218.0, 254.0]",206.0,162.0,210.0,189.0,170.0,228.0,154.0,133.0
"[217.0, 255.0]",237.0,184.0,142.0,175.0,140.0,245.0,203.0,122.0
"[217.0, 256.0]",231.0,180.0,170.0,192.0,174.0,197.0,169.0,147.0
"[217.0, 257.0]",229.0,158.0,117.0,126.0,160.0,202.0,179.0,180.0
"[217.0, 258.0]",221.0,181.0,154.0,157.0,126.0,178.0,164.0,134.0
"[216.0, 258.0]",163.0,99.0,115.0,113.0,117.0,148.0,188.0,119.0
"[216.0, 259.0]",215.0,109.0,126.0,109.0,117.0,148.0,162.0,98.0
"[216.0, 261.0]",198.0,99.0,100.0,137.0,153.0,168.0,131.0,96.0
"[216.0, 262.0]",218.0,154.0,114.0,152.0,145.0,158.0,84.0,71.0
"[215.0, 263.0]",208.0,106.0,81.0,130.0,97.0,126.0,70.0,67.0
"[215.0, 264.0]",225.0,107.0,92.0,124.0,124.0,124.0,80.0,92.0
"[215.0, 265.0]",248.0,109.0,97.0,170.0,147.0,148.0,93.0,81.0
"[214.0, 266.0]",237.0,146.0,126.0,121.0,140.0,145.0,115.0,163.0
"[214.0, 267.0]",255.0,163.0,130.0,169.0,170.0,142.0,179.0,166.0
"[214.0, 268.0]",255.0,209.0,182.0,194.0,184.0,158.0,222.0,207.0
"[213.0, 269.0]",255.0,226.0,226.0,216.0,248.0,126.0,213.0,185.0
"[213.0, 270.0]",255.0,255.0,245.0,255.0,237.0,159.0,225.0,229.0
"[213.0, 271.0]",255.0,248.0,233.0,255.0,239.0,191.0,240.0,217.0
"[212.0, 272.0]",255.0,252.0,211.0,255.0,228.0,255.0,251.0,255.0
"[212.0, 273.0]",247.0,231.0,228.0,255.0,230.0,228.0,240.0,255.0
"[212.0, 274.0]",248.0,214.0,246.0,247.0,230.0,242.0,224.0,253.0
"[211.0, 275.0]",231.0,189.0,198.0,236.0,222.0,255.0,183.0,255.0
"[211.0, 276.0]",255.0,174.0,189.0,175.0,239.0,235.0,156.0,255.0
"[211.0, 277.0]",230.0,179.0,178.0,187.0,187.0,220.0,165.0,255.0
"[210.0, 278.0]",191.0,199.0,183.0,166.0,150.0,203.0,155.0,255.0
"[210.0, 279.0]",156.0,158.0,158.0,157.0,205.0,170.0,179.0,235.0
"[210.0, 280.0]",124.0,214.0,151.0,155.0,187.0,204.0,225.0,133.0
"[209.0, 281.0]",130.0,154.0,162.0,128.0,150.0,170.0,149.0,166.0
"[209.0, 282.0]",103.0,146.0,129.0,188.0,167.0,180.0,101.0,131.0
"[208.0, 283.0]",63.0,139.0,99.0,134.0,116.0,151.0,111.0,110.0
"[208.0, 284.0]",62.0,77.0,94.0,116.0,141.0,159.0,88.0,102.0
"[208.0, 285.0]",65.0,57.0,55.0,87.0,87.0,157.0,82.0,88.0
"[207.0, 285.0]",66.0,72.0,77.0,129.0,97.0,179.0,72.0,125.0
"[207.0, 287.0]",91.0,64.0,58.0,62.0,86.0,103.0,81.0,101.0
"[207.0, 288.0]",119.0,64.0,54.0,56.0,91.0,153.0,52.0,71.0
"[206.0, 289.0]",160.0,65.0,102.0,113.0,71.0,119.0,109.0,66.0
"[206.0, 289.0]",160.0,65.0,102.0,113.0,71.0,119.0,109.0,66.0
"[206.0, 291.0]",81.0,60.0,54.0,171.0,68.0,105.0,108.0,91.0
"[205.0, 292.0]",84.0,144.0,136.0,229.0,175.0,131.0,102.0,167.0
"[205.0, 293.0]",84.0,166.0,143.0,226.0,160.0,100.0,136.0,170.0
"[204.0, 294.0]",147.0,234.0,246.0,255.0,250.0,81.0,197.0,209.0
"[204.0, 294.0]",147.0,234.0,246.0,255.0,250.0,81.0,197.0,209.0
"[204.0, 296.0]",180.0,255.0,250.0,255.0,241.0,167.0,85.0,237.0
"[203.0, 297.0]",211.0,255.0,224.0,255.0,255.0,195.0,102.0,248.0
"[203.0, 298.0]",208.0,248.0,255.0,255.0,255.0,254.0,78.0,249.0
"[203.0, 299.0]",220.0,255.0,255.0,232.0,255.0,214.0,49.0,251.0
"[202.0, 300.0]",182.0,246.0,224.0,255.0,232.0,248.0,75.0,183.0
"[202.0, 301.0]",207.0,213.0,221.0,219.0,244.0,239.0,69.0,140.0
"[202.0, 302.0]",204.0,241.0,240.0,250.0,230.0,238.0,67.0,111.0
"[201.0, 303.0]",205.0,172.0,155.0,129.0,127.0,200.0,84.0,111.0
"[201.0, 304.0]",167.0,136.0,150.0,125.0,103.0,230.0,94.0,68.0
"[201.0, 305.0]",172.0,163.0,111.0,127.0,145.0,210.0,66.0,80.0
"[201.0, 306.0]",196.0,116.0,125.0,158.0,181.0,210.0,57.0,46.0
"[200.0, 306.0]",189.0,105.0,100.0,126.0,121.0,152.0,76.0,65.0
"[200.0, 308.0]",135.0,144.0,131.0,126.0,122.0,155.0,87.0,60.0
"[200.0, 309.0]",174.0,166.0,144.0,158.0,176.0,136.0,74.0,43.0
"[199.0, 309.0]",197.0,160.0,117.0,88.0,127.0,174.0,114.0,32.0
"[199.0, 311.0]",207.0,211.0,126.0,149.0,167.0,183.0,203.0,48.0
